genome_ID	OTU	NCBI_ID	novelty_category
Arcticibacterium_luteifluviistationis	1	1784714	known_strain
Candidatus_Nitrosopumilus_sp_AR2	2	1229909	known_strain
Colwellia_psychrerythraea_34H	3	167879	known_strain
Colwellia_sp_Arc7-D_MMP08912473	4	2161872	known_strain
Denitrovibrio_acetiphilus_DSM_12809	5	522772	known_strain
Desulfotalea_psychrophila_LSv54	6	177439	known_strain
Flavobacterium_arcticum	7	1784713	known_strain
Kosmotoga_olearia_TBF_1951	8	521045	known_strain
Marinobacter_psychrophilus_strain_20041	9	330734	known_strain
Marinobacter_sp_Arc7_DN_1	10	2304594	known_strain
Marinobacter_sp_BSs20148	11	490759	known_strain
Microbacterium_sp_LKL04	12	912630	known_strain
Nocardiopsis_dassonvillei_strain_NOCA502F	13	2014	known_strain
Octadecabacter_arcticus_238	14	391616	known_strain
Paraglaciecola_psychrophila_170	15	1129794	known_strain
Polaribacter_sp_ALD11	16	2058137	known_strain
Pseudoalteromonas_aliena_EH1	17	247523	known_strain
Psychrobacter_sp_P11G3	18	1699623	known_strain
Psychromonas_ingrahamii_37	19	357804	known_strain
Rhodobacteraceae_bacterium_BAR1	20	2171755	known_strain
Rhodococcus_sp_B7740	21	1564114	known_strain
Salegentibacter_sp_T436	22	1729720	known_strain
Sulfitobacter_sp_SK011	23	1389004	known_strain
Thalassolituus_oleivorans_R6-15	24	1208320	known_strain
Thalassolituus_oleivorans_strain_K188	25	187493	known_strain
